,model_name,features,scaling,RMSE_train,R2_train,RMSE_validate,R2_validate,RMSE_difference
51,Decision Tree Regression,f1,quantile,287583,0.33,284137,0.33,3446
52,Random Forest Regression,f1,quantile,286103,0.34,282643,0.34,3460
53,LassoLars Regression,f1,quantile,298566,0.28,293505,0.29,5061
54,Linear Regression,f2,quantile,330832,0.12,325968,0.12,4864
55,Generalized Linear Model,f2,quantile,328290,0.13,323157,0.14,5133
56,Gradient Boosting Regression,f2,quantile,307774,0.24,302498,0.24,5276
57,Decision Tree Regression,f2,quantile,307975,0.24,302902,0.24,5073
58,Random Forest Regression,f2,quantile,307934,0.24,302758,0.24,5176
59,LassoLars Regression,f2,quantile,330832,0.12,325968,0.12,4864
60,Linear Regression,f3,quantile,297824,0.29,292597,0.29,5227
61,Generalized Linear Model,f3,quantile,305281,0.25,299603,0.26,5678
62,Gradient Boosting Regression,f3,quantile,281581,0.36,280589,0.35,992
63,Decision Tree Regression,f3,quantile,287583,0.33,284137,0.33,3446
64,Random Forest Regression,f3,quantile,286078,0.34,282632,0.34,3446
65,LassoLars Regression,f3,quantile,297824,0.29,292597,0.29,5227
66,Linear Regression,f4,quantile,300409,0.27,294998,0.28,5411
67,Generalized Linear Model,f4,quantile,305528,0.25,299845,0.26,5683
68,Gradient Boosting Regression,f4,quantile,285209,0.34,283665,0.33,1544
69,Decision Tree Regression,f4,quantile,288388,0.33,284318,0.33,4070
70,Random Forest Regression,f4,quantile,287719,0.33,283655,0.33,4064
71,LassoLars Regression,f4,quantile,300409,0.27,294999,0.28,5410
72,Linear Regression,f5,quantile,296706,0.29,291606,0.3,5100
73,Generalized Linear Model,f5,quantile,304614,0.25,298975,0.26,5639
74,Gradient Boosting Regression,f5,quantile,271862,0.4,270709,0.39,1153
75,Decision Tree Regression,f5,quantile,286165,0.34,283305,0.34,2860
76,Random Forest Regression,f5,quantile,284177,0.35,281244,0.35,2933
77,LassoLars Regression,f5,quantile,296706,0.29,291606,0.3,5100
78,Linear Regression,f6,quantile,298424,0.28,293406,0.29,5018
79,Generalized Linear Model,f6,quantile,305934,0.25,300296,0.25,5638
80,Gradient Boosting Regression,f6,quantile,277936,0.38,276321,0.37,1615
81,Decision Tree Regression,f6,quantile,286533,0.34,283273,0.34,3260
82,Random Forest Regression,f6,quantile,284685,0.35,281324,0.35,3361
83,LassoLars Regression,f6,quantile,298424,0.28,293406,0.29,5018
84,Linear Regression,f7,quantile,301109,0.27,295899,0.28,5210
85,Generalized Linear Model,f7,quantile,306172,0.25,300535,0.25,5637
86,Gradient Boosting Regression,f7,quantile,285477,0.34,284046,0.33,1431
87,Decision Tree Regression,f7,quantile,288388,0.33,284318,0.33,4070
88,Random Forest Regression,f7,quantile,287836,0.33,283756,0.33,4080
89,LassoLars Regression,f7,quantile,301109,0.27,295899,0.28,5210
90,Linear Regression,f8,quantile,296000,0.29,290681,0.3,5319
91,Generalized Linear Model,f8,quantile,304598,0.25,298957,0.26,5641
92,Gradient Boosting Regression,f8,quantile,269976,0.41,269407,0.4,569
93,Decision Tree Regression,f8,quantile,285674,0.34,282026,0.34,3648
94,Random Forest Regression,f8,quantile,282946,0.35,279782,0.35,3164
95,LassoLars Regression,f8,quantile,296000,0.29,290681,0.3,5319
96,Linear Regression,rfe,standard,297363,0.29,292245,0.29,5118
97,Generalized Linear Model,rfe,standard,304877,0.25,299229,0.26,5648
98,Gradient Boosting Regression,rfe,standard,276467,0.38,274858,0.38,1609
99,Decision Tree Regression,rfe,standard,285684,0.34,281886,0.34,3798
100,Random Forest Regression,rfe,standard,283188,0.35,279839,0.35,3349
101,LassoLars Regression,rfe,standard,297363,0.29,292245,0.29,5118
102,Linear Regression,poly1,standard,295375,0.3,290465,0.3,4910
103,Generalized Linear Model,poly1,standard,304043,0.26,298901,0.26,5142
104,Gradient Boosting Regression,poly1,standard,269987,0.41,269429,0.4,558
105,Decision Tree Regression,poly1,standard,285674,0.34,282026,0.34,3648
106,Random Forest Regression,poly1,standard,282944,0.35,279778,0.35,3166
107,LassoLars Regression,poly1,standard,295375,0.3,290465,0.3,4910
108,Linear Regression,poly2,standard,289608,0.32,283424,0.34,6184
109,Generalized Linear Model,poly2,standard,300165,0.28,293880,0.29,6285
110,Gradient Boosting Regression,poly2,standard,270048,0.41,269736,0.4,312
111,Decision Tree Regression,poly2,standard,285674,0.34,282026,0.34,3648
112,Random Forest Regression,poly2,standard,282947,0.35,279784,0.35,3163
113,LassoLars Regression,poly2,standard,289608,0.32,283425,0.34,6183
114,Linear Regression,poly3,standard,283704,0.35,278307,0.36,5397
115,Generalized Linear Model,poly3,standard,296656,0.29,299090,0.26,2434
116,Gradient Boosting Regression,poly3,standard,270110,0.41,270325,0.4,215
117,Decision Tree Regression,poly3,standard,285200,0.34,282305,0.34,2895
118,Random Forest Regression,poly3,standard,282170,0.36,279503,0.35,2667
119,LassoLars Regression,poly3,standard,283704,0.35,278308,0.36,5396
120,Linear Regression,poly4,standard,283124,0.35,277718,0.36,5406
121,Generalized Linear Model,poly4,standard,296190,0.29,298846,0.26,2656
122,Gradient Boosting Regression,poly4,standard,269468,0.41,270151,0.4,683
123,Decision Tree Regression,poly4,standard,285111,0.34,282318,0.34,2793
124,Random Forest Regression,poly4,standard,282014,0.36,279417,0.35,2597
125,LassoLars Regression,poly4,standard,283125,0.35,277720,0.36,5405
126,Single Linear Regression,bedrooms,standard,342329,0.06,336890,0.06,5439
127,Single Linear Regression,bathrooms,standard,331662,0.11,327084,0.12,4578
128,Single Linear Regression,sq_feet,standard,301680,0.27,296552,0.27,5128
129,Single Linear Regression,lot_sqft,standard,348182,0.02,343313,0.03,4869
130,Single Linear Regression,house_age,standard,342565,0.05,337964,0.06,4601
